,0,1,2,3,4,5,6,7,8,9,10,11
0,time_tag,speed,density,temperature,bx,by,bz,bt,vx,vy,vz,propagated_time_tag
1,2023-09-28 02:05:00.000,511.2,4.32,273492,-5.20,0.34,0.32,5.23,-510.8,-20.0,-4.9,2023-09-28 02:47:50.000
2,2023-09-28 02:06:00.000,510.3,5.67,348382,-5.21,0.20,0.22,5.22,-509.9,-20.0,-4.8,2023-09-28 02:48:55.000
3,2023-09-28 02:07:00.000,498.6,4.76,346958,-5.21,0.08,0.30,5.22,-498.2,-19.5,-4.7,2023-09-28 02:50:55.000
4,2023-09-28 02:08:00.000,501.8,5.03,378188,-5.23,0.17,0.37,5.25,-501.4,-19.6,-4.7,2023-09-28 02:51:38.000
5,2023-09-28 02:09:00.000,497.7,4.33,327148,-5.32,0.11,0.26,5.33,-497.3,-19.5,-4.7,2023-09-28 02:53:00.000
6,2023-09-28 02:10:00.000,487.3,3.74,267354,-5.24,-0.09,0.26,5.28,-486.9,-19.1,-4.6,2023-09-28 02:54:56.000
7,2023-09-28 02:11:00.000,512.7,3.36,270350,-5.27,-0.20,0.41,5.31,-512.2,-20.1,-4.8,2023-09-28 02:53:43.000
8,2023-09-28 02:12:00.000,508.9,5.86,403723,-5.24,-0.44,0.68,5.33,-508.5,-20.0,-4.8,2023-09-28 02:55:02.000
9,2023-09-28 02:13:00.000,504.9,4.89,281565,-5.30,-0.62,0.45,5.36,-504.5,-19.8,-4.7,2023-09-28 02:56:22.000
10,2023-09-28 02:14:00.000,493.9,5.63,409652,-5.30,-0.74,0.49,5.38,-493.5,-19.3,-4.6,2023-09-28 02:58:20.000
11,2023-09-28 02:15:00.000,493.3,5.26,383036,-5.41,-0.56,0.40,5.46,-492.9,-19.3,-4.5,2023-09-28 02:59:23.000
12,2023-09-28 02:16:00.000,473.5,3.62,203964,-5.36,-0.79,0.50,5.48,-473.1,-18.6,-4.4,2023-09-28 03:02:15.000
13,2023-09-28 02:17:00.000,460.4,3.53,138558,-5.30,-0.52,0.31,5.36,-460.0,-18.1,-4.2,2023-09-28 03:04:34.000
14,2023-09-28 02:18:00.000,467.0,3.73,147146,-5.38,-0.61,-0.31,5.46,-466.6,-18.3,-4.3,2023-09-28 03:04:54.000
15,2023-09-28 02:19:00.000,503.6,4.71,245607,-5.47,-0.62,-0.03,5.52,-503.2,-19.7,-4.6,2023-09-28 03:02:29.000
16,2023-09-28 02:20:00.000,506.0,5.17,311931,-5.34,-0.48,-0.15,5.44,-505.6,-19.9,-4.6,2023-09-28 03:03:17.000
